,total,data,pde,border
56,0.006256562191992998,0.010318527929484844,0.00015689503925386816,3.675849438877776e-05
57,0.006139205768704414,0.01011761836707592,0.0001558045914862305,3.6435394576983526e-05
58,0.0057427226565778255,0.00945759192109108,0.0001509034918854013,3.056678542634472e-05
59,0.006247007753700018,0.010282721370458603,0.0001514133036835119,4.379334859549999e-05
60,0.005533695220947266,0.009096717461943626,0.00014713189739268273,4.398023884277791e-05
61,0.005483631044626236,0.009006437845528126,0.00014467813889496028,5.34792234248016e-05
62,0.005506420973688364,0.009036016650497913,0.0001442215288989246,6.333442433970049e-05
63,0.00515740318223834,0.008463984355330467,0.00014215665578376502,3.52231327269692e-05
64,0.006269455887377262,0.010287394747138023,0.00014603340241592377,5.820096339448355e-05
65,0.006832601968199015,0.011211301200091839,0.00014774165174458176,5.3136438509682193e-05
66,0.004182186909019947,0.006845858879387379,0.00013804838818032295,2.043042150035035e-05
67,0.004311526659876108,0.007056432776153088,0.00013491581194102764,2.2839783923700452e-05
68,0.0043304599821567535,0.007081156130880117,0.00013287572073750198,3.5498520446708426e-05
69,0.004668545909225941,0.007624804507941008,0.00013294823293108493,6.699442747049034e-05
70,0.004476148635149002,0.007316677365452051,0.00013128174759913236,3.065667988266796e-05
71,0.004222338553518057,0.006892055738717318,0.0001280034048249945,4.54113251180388e-05
72,0.006692884955555201,0.010930899530649185,0.00014754246512893587,9.441721340408549e-05
73,0.006214596796780825,0.010146724060177803,0.00014015233318787068,7.262254075612873e-05
74,0.003459978150203824,0.005638723261654377,0.0001259741693502292,1.3452498933474999e-05
75,0.00604364974424243,0.009861394762992859,0.00013128099089954048,6.521712202811614e-05
76,0.0029865449760109186,0.004857562016695738,0.000124000187497586,1.1771775461966172e-05
77,0.0038374029099941254,0.006248869933187962,0.00012218081974424422,2.3836331820348278e-05
78,0.00353896408341825,0.005757555831223726,0.00011995906970696524,2.446925464028027e-05
79,0.003937345929443836,0.006404577288776636,0.00011933856876567006,3.801269122050144e-05
80,0.0041469489224255085,0.00674040662124753,0.00011975930101471022,5.3948522690916434e-05
81,0.0032421406358480453,0.005265003070235252,0.00011551262286957353,2.810951082210522e-05
82,0.0032909424044191837,0.005343595054000616,0.0001142103283200413,2.8349308195174672e-05
83,0.004282205365598202,0.006956381723284721,0.00011497230298118666,5.375919135985896e-05
